"age","gender","declared_income","premium_term","policy_term","premium_amount","booking_frequency","location","policy_type","current_status"
48,"female",1100000,20,30,31236,"Monthly","urban","ULIP","married"
32,"female",750000,15,25,14918,"Monthly","semi-urban","Term","married"
31,"male",450000,15,25,16538,"Monthly","urban","Term","married"
20,"female",1500000,10,20,28478,"Monthly","rural","ULIP","married"
59,"female",9e+05,30,40,25751,"Monthly","urban","Endowment","unmarried"
60,"female",350000,30,40,19937,"Monthly","urban","Endowment","unmarried"
54,"female",350000,30,40,19032,"Monthly","rural","Endowment","unmarried"
31,"female",2e+05,10,20,7033,"Yearly","rural","Term","married"
42,"male",1400000,20,30,32305,"Half_yearly","semi-urban","ULIP","married"
43,"male",1100000,20,30,26088,"Monthly","rural","ULIP","married"
44,"male",550000,20,30,14058,"Half_yearly","semi-urban","Term","married"
22,"female",1500000,5,15,29047,"Monthly","urban","ULIP","widow"
44,"male",1e+06,25,35,16900,"Quarterly","urban","Term","unmarried"
45,"female",1250000,30,40,28318,"Quarterly","urban","ULIP","married"
26,"female",6e+05,5,15,11092,"Half_yearly","rural","Term","unmarried"
46,"female",1100000,30,40,26237,"Monthly","rural","ULIP","unmarried"
52,"male",2e+05,30,40,16581,"Yearly","urban","Endowment","married"
25,"male",950000,5,15,14031,"Monthly","semi-urban","Term","unmarried"
43,"female",850000,25,35,16251,"Monthly","urban","Term","married"
24,"male",9e+05,5,15,16931,"Monthly","urban","Term","married"
59,"female",950000,30,40,26134,"Half_yearly","semi-urban","Endowment","married"
26,"male",1150000,5,15,30606,"Yearly","urban","ULIP","married"
36,"male",750000,10,20,17740,"Half_yearly","urban","Term","married"
53,"male",1e+06,25,35,26836,"Monthly","urban","Endowment","unmarried"
31,"male",450000,10,20,12448,"Yearly","semi-urban","Term","unmarried"
34,"male",2e+05,10,20,9555,"Monthly","semi-urban","Term","married"
60,"female",1450000,20,30,31967,"Yearly","semi-urban","ULIP","married"
56,"male",750000,30,40,23693,"Yearly","urban","Endowment","unmarried"
29,"male",1450000,5,15,30355,"Yearly","urban","ULIP","married"
32,"female",850000,20,30,14914,"Quarterly","semi-urban","Term","unmarried"
49,"male",7e+05,25,35,20433,"Quarterly","urban","Endowment","unmarried"
59,"male",1e+06,30,40,24365,"Monthly","urban","Endowment","married"
24,"male",7e+05,5,15,17769,"Half_yearly","urban","Term","married"
26,"female",1500000,10,20,30401,"Monthly","urban","ULIP","married"
58,"male",5e+05,30,40,18147,"Monthly","semi-urban","Endowment","widow"
27,"female",1350000,5,15,27957,"Quarterly","semi-urban","ULIP","married"
40,"female",1e+06,10,20,19048,"Quarterly","semi-urban","Term","married"
44,"female",1400000,25,35,30659,"Half_yearly","rural","ULIP","unmarried"
24,"male",3e+05,5,15,9698,"Quarterly","urban","Term","married"
44,"female",650000,20,30,14501,"Yearly","semi-urban","Term","married"
49,"female",1250000,30,40,33448,"Yearly","urban","ULIP","unmarried"
55,"male",1400000,25,35,33749,"Quarterly","semi-urban","ULIP","unmarried"
42,"male",4e+05,25,35,13993,"Quarterly","urban","Term","unmarried"
51,"female",1e+06,20,30,27641,"Monthly","urban","Endowment","married"
46,"male",1150000,20,30,27055,"Monthly","semi-urban","ULIP","married"
22,"female",1e+06,10,20,15682,"Monthly","urban","Term","unmarried"
25,"female",8e+05,10,20,15859,"Quarterly","semi-urban","Term","married"
29,"male",3e+05,5,15,12826,"Quarterly","urban","Term","married"
30,"female",1500000,5,15,32823,"Monthly","urban","ULIP","married"
35,"female",1500000,20,30,34439,"Monthly","urban","ULIP","married"
50,"male",1e+06,25,35,23510,"Half_yearly","semi-urban","Endowment","unmarried"
44,"male",1350000,30,40,27728,"Monthly","semi-urban","ULIP","married"
42,"female",950000,30,40,16497,"Half_yearly","rural","Term","unmarried"
55,"male",250000,30,40,15686,"Half_yearly","urban","Endowment","unmarried"
38,"female",1300000,20,30,28359,"Yearly","rural","ULIP","married"
32,"female",3e+05,20,30,8632,"Quarterly","semi-urban","Term","married"
58,"female",550000,25,35,21607,"Half_yearly","semi-urban","Endowment","married"
43,"female",550000,20,30,13101,"Yearly","urban","Term","married"
48,"female",1250000,30,40,32216,"Yearly","urban","ULIP","married"
33,"male",1500000,20,30,29316,"Monthly","rural","ULIP","married"
47,"male",450000,25,35,16591,"Monthly","rural","Endowment","unmarried"
23,"male",2e+05,10,20,4721,"Quarterly","urban","Term","married"
60,"male",3e+05,25,35,17782,"Quarterly","urban","Endowment","unmarried"
25,"female",1150000,10,20,28446,"Monthly","urban","ULIP","unmarried"
39,"male",850000,15,25,17610,"Monthly","rural","Term","married"
39,"female",7e+05,10,20,13332,"Monthly","semi-urban","Term","married"
56,"male",350000,30,40,15684,"Monthly","semi-urban","Endowment","married"
48,"male",650000,25,35,19050,"Quarterly","semi-urban","Endowment","unmarried"
34,"female",9e+05,10,20,16835,"Monthly","urban","Term","unmarried"
51,"male",1300000,30,40,26946,"Monthly","semi-urban","ULIP","unmarried"
21,"male",6e+05,10,20,11504,"Yearly","semi-urban","Term","widow"
30,"female",1250000,10,20,30557,"Yearly","urban","ULIP","married"
22,"male",1350000,5,15,28997,"Yearly","urban","ULIP","widow"
42,"male",4e+05,20,30,11848,"Yearly","semi-urban","Term","married"
39,"female",250000,15,25,10512,"Half_yearly","semi-urban","Term","unmarried"
42,"female",1300000,20,30,28254,"Quarterly","semi-urban","ULIP","married"
49,"female",1100000,25,35,25238,"Monthly","semi-urban","ULIP","unmarried"
42,"male",250000,30,40,12997,"Yearly","urban","Term","married"
40,"female",5e+05,20,30,10703,"Monthly","semi-urban","Term","widow"
52,"male",1450000,20,30,34166,"Monthly","urban","ULIP","married"
57,"female",1450000,20,30,31362,"Monthly","rural","ULIP","unmarried"
47,"female",250000,20,30,14679,"Yearly","rural","Endowment","married"
29,"male",950000,5,15,20399,"Half_yearly","semi-urban","Term","married"
48,"male",3e+05,25,35,14535,"Monthly","rural","Endowment","unmarried"
47,"female",1200000,20,30,28542,"Monthly","semi-urban","ULIP","unmarried"
52,"female",1300000,25,35,27555,"Monthly","semi-urban","ULIP","married"
31,"female",1400000,15,25,28547,"Monthly","urban","ULIP","married"
46,"female",850000,20,30,20237,"Half_yearly","semi-urban","Endowment","married"
49,"male",3e+05,30,40,18713,"Monthly","rural","Endowment","married"
24,"male",1250000,5,15,29753,"Monthly","urban","ULIP","unmarried"
20,"female",1e+06,5,15,15151,"Quarterly","rural","Term","married"
40,"male",1e+06,15,25,20147,"Quarterly","urban","Term","married"
32,"male",550000,15,25,10080,"Quarterly","semi-urban","Term","widow"
38,"male",1450000,15,25,32267,"Monthly","urban","ULIP","unmarried"
54,"male",750000,20,30,22118,"Monthly","semi-urban","Endowment","unmarried"
25,"male",1150000,10,20,26655,"Quarterly","urban","ULIP","widow"
27,"female",7e+05,5,15,16613,"Monthly","urban","Term","married"
59,"male",2e+05,30,40,15709,"Monthly","urban","Endowment","unmarried"
51,"female",650000,25,35,22626,"Quarterly","urban","Endowment","married"
27,"male",1150000,10,20,27204,"Yearly","urban","ULIP","married"
39,"female",1450000,10,20,30791,"Yearly","urban","ULIP","married"
29,"female",6e+05,5,15,13196,"Monthly","semi-urban","Term","married"
37,"female",450000,15,25,10879,"Quarterly","rural","Term","married"
34,"female",550000,20,30,11839,"Monthly","rural","Term","married"
52,"male",250000,20,30,16634,"Quarterly","rural","Endowment","married"
57,"female",850000,25,35,21802,"Monthly","urban","Endowment","married"
47,"male",1100000,20,30,30869,"Monthly","urban","ULIP","unmarried"
32,"female",3e+05,15,25,12847,"Half_yearly","semi-urban","Term","unmarried"
41,"female",3e+05,30,40,13138,"Monthly","urban","Term","married"
40,"female",950000,15,25,17382,"Yearly","urban","Term","married"
60,"female",1150000,20,30,33180,"Quarterly","urban","ULIP","married"
24,"male",950000,10,20,17300,"Monthly","urban","Term","unmarried"
46,"male",5e+05,30,40,22204,"Quarterly","urban","Endowment","unmarried"
32,"female",6e+05,15,25,14851,"Monthly","semi-urban","Term","married"
40,"female",750000,20,30,16165,"Monthly","urban","Term","unmarried"
43,"male",1300000,25,35,26592,"Monthly","semi-urban","ULIP","widow"
55,"male",3e+05,20,30,21803,"Quarterly","urban","Endowment","married"
49,"female",250000,25,35,15878,"Yearly","semi-urban","Endowment","married"
24,"female",1100000,5,15,26139,"Half_yearly","urban","ULIP","married"
